,Year,Month,ADT
0,1997,1,-0.014943123
1,1997,2,-0.005867243
2,1997,3,-0.015096545
3,1997,4,-0.007572353
4,1997,5,0.013443351
5,1997,6,0.013527095
6,1997,7,0.011986196
7,1997,8,0.018414378
8,1997,9,0.04020369
9,1997,10,0.039132893
10,1997,11,0.020835817
11,1997,12,0.022465885
12,1998,1,0.030151784
13,1998,2,0.036604643
14,1998,3,0.0315032
15,1998,4,0.02613151
16,1998,5,0.02468872
17,1998,6,0.017068148
18,1998,7,0.014918447
19,1998,8,0.016301513
20,1998,9,0.008458614
21,1998,10,0.0035776496
22,1998,11,-0.007918954
23,1998,12,-0.021786153
24,1999,1,-0.026688576
25,1999,2,-0.03650838
26,1999,3,-0.03442195
27,1999,4,-0.03988263
28,1999,5,-0.04962021
29,1999,6,-0.048492372
30,1999,7,-0.053805232
31,1999,8,-0.052301288
32,1999,9,-0.0540998
33,1999,10,-0.050017536
34,1999,11,-0.044483602
35,1999,12,-0.037077785
36,2000,1,-0.047389954
37,2000,2,-0.043480486
38,2000,3,-0.032303214
39,2000,4,-0.03461936
40,2000,5,-0.03773141
41,2000,6,-0.0325678
42,2000,7,-0.026920617
43,2000,8,-0.024461329
44,2000,9,-0.022455096
45,2000,10,-0.027623773
46,2000,11,-0.037771344
47,2000,12,-0.03834206
48,2001,1,-0.038011014
49,2001,2,-0.05366841
50,2001,3,-0.04714787
51,2001,4,-0.050346494
52,2001,5,-0.03944546
53,2001,6,-0.037248224
54,2001,7,-0.03181237
55,2001,8,-0.03282702
56,2001,9,-0.028515577
57,2001,10,-0.0328179
58,2001,11,-0.02293253
59,2001,12,-0.026849508
60,2002,1,-0.023872554
61,2002,2,-0.018155694
62,2002,3,-0.022517383
63,2002,4,-0.023076653
64,2002,5,-0.010574818
65,2002,6,-0.010266662
66,2002,7,-0.0033708215
67,2002,8,-0.006339133
68,2002,9,-0.013076127
69,2002,10,-0.014671266
70,2002,11,0.013612568
71,2002,12,0.0074571967
72,2003,1,0.015268803
73,2003,2,0.017325401
74,2003,3,0.010542572
75,2003,4,0.0060928464
76,2003,5,0.006514013
77,2003,6,0.010856152
78,2003,7,0.012715638
79,2003,8,0.014070451
80,2003,9,0.01060468
81,2003,10,0.01697874
82,2003,11,0.002887547
83,2003,12,0.0035979748
84,2004,1,0.009696305
85,2004,2,0.016857266
86,2004,3,0.014908373
87,2004,4,0.018570721
88,2004,5,0.026349306
89,2004,6,0.018721342
90,2004,7,0.008652568
91,2004,8,0.012887418
92,2004,9,0.0063055158
93,2004,10,0.0019678473
94,2004,11,-0.012640178
95,2004,12,-0.012048423
96,2005,1,-0.013810396
97,2005,2,0.0005605221
98,2005,3,0.0033470392
99,2005,4,0.005375564
100,2005,5,0.005049348
101,2005,6,0.0038180351
102,2005,7,0.0041125417
103,2005,8,0.004350066
104,2005,9,-0.00023752451
105,2005,10,-0.0019330978
106,2005,11,-0.0014261603
107,2005,12,0.007432282
108,2006,1,0.00808692
109,2006,2,-0.00030338764
110,2006,3,-0.017162561
111,2006,4,-0.016595185
112,2006,5,-0.020415425
113,2006,6,-0.014198542
114,2006,7,-0.0024983883
115,2006,8,-0.011177957
116,2006,9,-0.015550196
117,2006,10,-0.02028668
118,2006,11,-0.012250781
119,2006,12,-0.0029928684
120,2007,1,-0.006745875
121,2007,2,-0.0119668245
122,2007,3,-0.011441171
123,2007,4,-0.006799519
124,2007,5,-0.005783856
125,2007,6,-0.012769282
126,2007,7,-0.005656719
127,2007,8,-0.013550639
128,2007,9,-0.01610291
129,2007,10,-0.028888226
130,2007,11,-0.02043128
131,2007,12,-0.025390923
132,2008,1,-0.029232264
133,2008,2,-0.031291246
134,2008,3,-0.027733892
135,2008,4,-0.026816607
136,2008,5,-0.025180727
137,2008,6,-0.026573718
138,2008,7,-0.02120322
139,2008,8,-0.017187119
140,2008,9,-0.026481628
141,2008,10,-0.020038962
142,2008,11,-0.010112822
143,2008,12,-0.012860596
144,2009,1,-0.023120463
145,2009,2,-0.02769059
146,2009,3,-0.017067969
147,2009,4,-0.0139859915
148,2009,5,-0.013238192
149,2009,6,-0.009470642
150,2009,7,-0.0072654486
151,2009,8,-0.003020525
152,2009,9,0.002108574
153,2009,10,-0.003078878
154,2009,11,-6.937981e-05
155,2009,12,0.0040178895
156,2010,1,0.007917047
157,2010,2,0.018335938
158,2010,3,0.017386377
159,2010,4,0.019326389
160,2010,5,0.006210506
161,2010,6,0.0029566884
162,2010,7,8.124113e-05
163,2010,8,-0.013747036
164,2010,9,-0.020722687
165,2010,10,-0.007454455
166,2010,11,-0.011891127
167,2010,12,-0.02200526
168,2011,1,-0.018744051
169,2011,2,-0.02005136
170,2011,3,-0.019158721
171,2011,4,-0.02453804
172,2011,5,-0.022656798
173,2011,6,-0.019212723
174,2011,7,-0.01860094
175,2011,8,-0.021728098
176,2011,9,-0.017602503
177,2011,10,-0.01973772
178,2011,11,-0.026481926
179,2011,12,-0.02761352
180,2012,1,-0.019993544
181,2012,2,-0.008897603
182,2012,3,-0.014504373
