,Year,Month,SST
0,1981,12,-0.39405346
1,1982,1,-0.18106651
2,1982,2,-0.016953468
3,1982,3,-0.12755775
4,1982,4,-0.1990099
5,1982,5,-0.07483959
6,1982,6,-0.39855576
7,1982,7,-0.5937195
8,1982,8,-0.6681862
9,1982,9,-0.5743561
10,1982,10,-0.66145897
11,1982,11,-0.41563416
12,1982,12,-0.40400505
13,1983,1,-0.48133755
14,1983,2,-0.7287445
15,1983,3,-0.78138924
16,1983,4,-0.84942055
17,1983,5,-0.7877579
18,1983,6,-0.8167143
19,1983,7,-1.0784855
20,1983,8,-0.97953224
21,1983,9,-0.40834427
22,1983,10,-0.19374084
23,1983,11,-0.30800438
24,1983,12,-0.3599596
25,1984,1,-0.08852863
26,1984,2,0.12047291
27,1984,3,0.10235691
28,1984,4,0.10254574
29,1984,5,0.15642834
30,1984,6,0.24725723
31,1984,7,-0.052431107
32,1984,8,-0.2152443
33,1984,9,-0.10808945
34,1984,10,-0.3063221
35,1984,11,-0.14829254
36,1984,12,-0.06289005
37,1985,1,-0.13060379
38,1985,2,-0.006834984
39,1985,3,0.108239174
40,1985,4,0.007961273
41,1985,5,-0.049547195
42,1985,6,-0.25328636
43,1985,7,-0.40283585
44,1985,8,-0.51719093
45,1985,9,-0.11963081
46,1985,10,0.098451614
47,1985,11,0.21063042
48,1985,12,0.08154106
49,1986,1,-0.09549713
50,1986,2,-0.24981499
51,1986,3,-0.23988628
52,1986,4,-0.11117649
53,1986,5,-0.15163612
54,1986,6,-0.4832039
55,1986,7,-0.58628464
56,1986,8,-0.31986046
57,1986,9,-0.17097092
58,1986,10,0.10228157
59,1986,11,-0.03183174
60,1986,12,-0.070139885
61,1987,1,-0.27526665
62,1987,2,-0.5267277
63,1987,3,-0.3756504
64,1987,4,-0.56051636
65,1987,5,-0.8126335
66,1987,6,-1.1759129
67,1987,7,-1.1306801
68,1987,8,-0.9159565
69,1987,9,-0.86548424
70,1987,10,-1.0718403
71,1987,11,-0.6672535
72,1987,12,-0.72237873
73,1988,1,-0.6765785
74,1988,2,-0.52600384
75,1988,3,-0.4006691
76,1988,4,-0.26327896
77,1988,5,-0.5220785
78,1988,6,-0.35355568
79,1988,7,-0.3793831
80,1988,8,-0.33690453
81,1988,9,-0.47174644
82,1988,10,-0.34607506
83,1988,11,-0.18008804
84,1988,12,0.036946297
85,1989,1,0.2648182
86,1989,2,0.19667625
87,1989,3,0.2189064
88,1989,4,0.24269485
89,1989,5,0.36184502
90,1989,6,0.12113953
91,1989,7,-0.07398033
92,1989,8,-0.1855774
93,1989,9,-0.00925827
94,1989,10,0.03354454
95,1989,11,0.2258606
96,1989,12,0.20193195
97,1990,1,0.30287647
98,1990,2,0.08547211
99,1990,3,-0.024297714
100,1990,4,0.05853939
101,1990,5,0.16519165
102,1990,6,0.018032074
103,1990,7,-0.1482811
104,1990,8,-0.10131073
105,1990,9,0.09484863
106,1990,10,0.23965073
107,1990,11,0.27545166
108,1990,12,0.29564953
109,1991,1,0.58952045
110,1991,2,0.42723274
111,1991,3,0.44061375
112,1991,4,0.47289276
113,1991,5,0.30750751
114,1991,6,0.36735344
115,1991,7,0.4098549
116,1991,8,0.11661148
117,1991,9,-0.020364761
118,1991,10,0.012353897
119,1991,11,0.22457695
120,1991,12,-0.010052681
121,1992,1,-0.22332573
122,1992,2,-0.29333305
123,1992,3,-0.14707851
124,1992,4,-0.22569275
125,1992,5,-0.33408928
126,1992,6,-0.15831375
127,1992,7,-0.2027607
128,1992,8,-0.18407822
129,1992,9,-0.0295887
130,1992,10,-0.24048615
131,1992,11,-0.29922485
132,1992,12,-0.25118446
133,1993,1,-0.06966877
134,1993,2,-0.17001247
135,1993,3,-0.15924549
136,1993,4,-0.07429218
137,1993,5,-0.31862068
138,1993,6,-0.36854553
139,1993,7,-0.36031532
140,1993,8,-0.71967316
141,1993,9,-0.53905106
142,1993,10,-0.21923256
143,1993,11,-0.12539291
144,1993,12,-0.17657948
145,1994,1,-0.15645027
146,1994,2,-0.05294609
147,1994,3,0.060869217
148,1994,4,-0.12472534
149,1994,5,-0.20732689
150,1994,6,-0.23218727
151,1994,7,-0.18869591
152,1994,8,0.228302
153,1994,9,0.14147758
154,1994,10,0.09057617
155,1994,11,0.11590576
156,1994,12,0.49832058
157,1995,1,-0.059220314
158,1995,2,-0.18208885
