,Year,Month,ADT
194,2009,3,-0.0165588
195,2009,4,-0.013971221
196,2009,5,-0.013913376
197,2009,6,-0.0119640585
198,2009,7,-0.007352367
199,2009,8,-0.0028140321
200,2009,9,0.0018699318
201,2009,10,-0.0028901398
202,2009,11,0.0015989095
203,2009,12,0.0050920807
204,2010,1,0.007823149
205,2010,2,0.016439239
206,2010,3,0.017431406
207,2010,4,0.016779138
208,2010,5,0.0059977593
209,2010,6,0.0033252258
210,2010,7,0.0022398867
211,2010,8,-0.010968123
212,2010,9,-0.01853612
213,2010,10,-0.00552598
214,2010,11,-0.0089467205
215,2010,12,-0.020035854
216,2011,1,-0.015642114
217,2011,2,-0.017747393
218,2011,3,-0.020326
219,2011,4,-0.026159422
220,2011,5,-0.02425198
221,2011,6,-0.020673504
222,2011,7,-0.02000269
223,2011,8,-0.021150772
224,2011,9,-0.01705695
225,2011,10,-0.019478962
226,2011,11,-0.02224209
227,2011,12,-0.02409517
228,2012,1,-0.016174268
229,2012,2,-0.0069641443
230,2012,3,-0.013420541
231,2012,4,-0.019912155
232,2012,5,-0.015121202
233,2012,6,-0.018069254
234,2012,7,-0.020960905
235,2012,8,-0.02661955
236,2012,9,-0.016936935
237,2012,10,-0.011036776
238,2012,11,-0.0045431443
239,2012,12,-0.0042568445
240,2013,1,-0.006837167
241,2013,2,-0.005808292
242,2013,3,-0.011556611
243,2013,4,-0.013541608
244,2013,5,-0.014607226
245,2013,6,-0.015685787
246,2013,7,-0.024788825
247,2013,8,-0.020625353
248,2013,9,-0.010878608
249,2013,10,-0.011620358
250,2013,11,-0.016184576
251,2013,12,-0.013103522
252,2014,1,-0.0039619002
253,2014,2,0.0040793587
254,2014,3,0.02559768
255,2014,4,0.022169407
256,2014,5,0.015108918
257,2014,6,0.021964028
258,2014,7,0.027422871
259,2014,8,0.03529488
260,2014,9,0.034110755
261,2014,10,0.038929284
262,2014,11,0.037781134
263,2014,12,0.055228386
264,2015,1,0.0651873
265,2015,2,0.073248036
266,2015,3,0.07759561
267,2015,4,0.070562914
268,2015,5,0.062434386
269,2015,6,0.060628664
270,2015,7,0.05899634
271,2015,8,0.05826885
272,2015,9,0.06383208
273,2015,10,0.06759809
274,2015,11,0.070587605
275,2015,12,0.06478828
276,2016,1,0.060094774
277,2016,2,0.077228926
278,2016,3,0.07400265
279,2016,4,0.06708337
280,2016,5,0.05873618
281,2016,6,0.056759547
282,2016,7,0.046139497
283,2016,8,0.037810694
284,2016,9,0.0356948
285,2016,10,0.034480743
286,2016,11,0.042979337
287,2016,12,0.030242484
288,2017,1,0.015736816
289,2017,2,0.0051089246
290,2017,3,0.0046470957
291,2017,4,0.012731247
292,2017,5,0.009240872
293,2017,6,0.0070051365
294,2017,7,0.013918385
295,2017,8,0.018448908
296,2017,9,0.012449421
297,2017,10,0.014690854
298,2017,11,0.018355116
299,2017,12,0.029664803
300,2018,1,0.024816936
301,2018,2,0.009962289
302,2018,3,0.0033747088
303,2018,4,0.017097859
304,2018,5,0.019450333
305,2018,6,0.019653346
306,2018,7,0.013672896
307,2018,8,0.020661224
308,2018,9,0.016218178
309,2018,10,0.020856641
310,2018,11,0.02278275
311,2018,12,0.026551817
312,2019,1,0.035479613
