,Year,Month,ADT
0,1993,1,-0.015134571
1,1993,2,-0.0038948506
2,1993,3,0.0164894
3,1993,4,0.024208471
4,1993,5,0.017859742
5,1993,6,0.020924296
6,1993,7,0.0204649
7,1993,8,0.021417636
8,1993,9,-0.0005034059
9,1993,10,0.005026184
10,1993,11,0.0019605756
11,1993,12,0.008862294
12,1994,1,0.009390416
13,1994,2,0.0013621543
14,1994,3,0.0038648462
15,1994,4,0.005175883
16,1994,5,0.0013730414
17,1994,6,8.0067664e-05
18,1994,7,-0.00060114264
19,1994,8,0.00052043796
20,1994,9,0.0063957945
21,1994,10,0.0020167753
22,1994,11,-0.017120343
23,1994,12,-0.023928165
24,1995,1,-0.010892349
25,1995,2,0.0012601744
26,1995,3,-0.007140873
27,1995,4,-0.008871886
28,1995,5,-0.010106164
29,1995,6,-0.0047522187
30,1995,7,-0.015656069
31,1995,8,-0.021037601
32,1995,9,-0.0048952363
33,1995,10,-0.0062760897
34,1995,11,-0.0035567358
35,1995,12,-0.011627115
36,1996,1,-0.014481368
37,1996,2,-0.009193034
38,1996,3,-0.016887652
39,1996,4,-0.004191281
40,1996,5,0.0012905803
41,1996,6,-0.0006478727
42,1996,7,-0.007963579
43,1996,8,-0.007933829
44,1996,9,-0.0026230514
45,1996,10,-0.0054834187
46,1996,11,-0.022704016
47,1996,12,-0.021288468
48,1997,1,-0.013630326
49,1997,2,-0.003981849
50,1997,3,-0.013829297
51,1997,4,-0.0057607135
52,1997,5,0.011948581
53,1997,6,0.009597927
54,1997,7,0.011790711
55,1997,8,0.017012026
56,1997,9,0.036337852
57,1997,10,0.034384467
58,1997,11,0.018722154
59,1997,12,0.019740976
60,1998,1,0.027529752
61,1998,2,0.033674955
62,1998,3,0.030533466
63,1998,4,0.024585929
64,1998,5,0.023075089
65,1998,6,0.015482806
66,1998,7,0.01524096
67,1998,8,0.017199766
68,1998,9,0.008232892
69,1998,10,0.0056981817
70,1998,11,-0.0013366267
71,1998,12,-0.01597485
72,1999,1,-0.022600938
73,1999,2,-0.03199055
74,1999,3,-0.032879215
75,1999,4,-0.0377423
76,1999,5,-0.046208706
77,1999,6,-0.045403644
78,1999,7,-0.052017014
79,1999,8,-0.048065748
80,1999,9,-0.0491651
81,1999,10,-0.045820445
82,1999,11,-0.04015148
83,1999,12,-0.03176555
84,2000,1,-0.043640584
85,2000,2,-0.042458106
86,2000,3,-0.03099403
87,2000,4,-0.033746336
88,2000,5,-0.0393049
89,2000,6,-0.03177432
90,2000,7,-0.025319967
91,2000,8,-0.023430157
92,2000,9,-0.020680558
93,2000,10,-0.025710318
94,2000,11,-0.033225812
95,2000,12,-0.034007665
96,2001,1,-0.03433492
97,2001,2,-0.050496973
98,2001,3,-0.045632657
99,2001,4,-0.049024776
100,2001,5,-0.039163068
101,2001,6,-0.035350583
102,2001,7,-0.030421935
103,2001,8,-0.029885171
104,2001,9,-0.027266998
105,2001,10,-0.029197678
106,2001,11,-0.019207317
107,2001,12,-0.02350202
108,2002,1,-0.021497278
109,2002,2,-0.017101627
110,2002,3,-0.02015813
111,2002,4,-0.02109643
112,2002,5,-0.007644501
113,2002,6,-0.008298175
114,2002,7,-0.0029652081
115,2002,8,-0.005406644
116,2002,9,-0.012657411
117,2002,10,-0.013818614
118,2002,11,0.0124454275
119,2002,12,0.0073585548
120,2003,1,0.015733058
121,2003,2,0.016671935
122,2003,3,0.01075975
123,2003,4,0.0051872535
124,2003,5,0.007225794
125,2003,6,0.010611508
126,2003,7,0.01379393
127,2003,8,0.013596367
128,2003,9,0.011598602
129,2003,10,0.016372114
130,2003,11,0.0047470704
131,2003,12,0.0045083277
132,2004,1,0.010104818
133,2004,2,0.016904602
134,2004,3,0.014137674
135,2004,4,0.017081842
136,2004,5,0.024362586
137,2004,6,0.017467804
138,2004,7,0.009230923
139,2004,8,0.012221497
140,2004,9,0.0053509623
141,2004,10,0.0027873293
142,2004,11,-0.009460453
143,2004,12,-0.008573705
144,2005,1,-0.01338165
145,2005,2,-0.00041165482
146,2005,3,0.0026379703
147,2005,4,0.0023309216
148,2005,5,0.0026538046
149,2005,6,0.0041724034
150,2005,7,0.0037159286
151,2005,8,0.0049111247
152,2005,9,0.00014896691
153,2005,10,-0.0015001744
154,2005,11,0.00074163824
155,2005,12,0.009856544
156,2006,1,0.009719545
157,2006,2,0.0001219511
158,2006,3,-0.017261375
159,2006,4,-0.018238764
160,2006,5,-0.021743603
161,2006,6,-0.01653283
162,2006,7,-0.0021578148
163,2006,8,-0.011157233
164,2006,9,-0.013675675
165,2006,10,-0.019491486
166,2006,11,-0.010517221
167,2006,12,-0.0019702837
168,2007,1,-0.00456848
169,2007,2,-0.011110897
170,2007,3,-0.009146162
171,2007,4,-0.006367911
172,2007,5,-0.0046752924
173,2007,6,-0.012019912
174,2007,7,-0.0058464296
175,2007,8,-0.012390014
176,2007,9,-0.013974261
177,2007,10,-0.026857927
178,2007,11,-0.014938239
179,2007,12,-0.019543001
180,2008,1,-0.02567325
181,2008,2,-0.029526854
182,2008,3,-0.025280934
183,2008,4,-0.026369438
184,2008,5,-0.024017652
185,2008,6,-0.02650064
186,2008,7,-0.020573333
187,2008,8,-0.015879206
188,2008,9,-0.023389861
189,2008,10,-0.018132128
190,2008,11,-0.008566961
191,2008,12,-0.008222308
192,2009,1,-0.019164946
193,2009,2,-0.0253763
