,Year,Month,SST
0,1981,12,-1.2856579
1,1982,1,-0.7391758
2,1982,2,-0.5569129
3,1982,3,-0.25675964
4,1982,4,-0.5003643
5,1982,5,-0.145298
6,1982,6,-0.447155
7,1982,7,-0.016496658
8,1982,8,-0.7466564
9,1982,9,-0.6641445
10,1982,10,-0.66062737
11,1982,11,-0.33670616
12,1982,12,-0.25818443
13,1983,1,-0.046028614
14,1983,2,-0.27455902
15,1983,3,-0.22239304
16,1983,4,0.22505093
17,1983,5,-0.41430283
18,1983,6,-0.917758
19,1983,7,-1.1317825
20,1983,8,-0.4264202
21,1983,9,0.51449203
22,1983,10,-0.50855255
23,1983,11,-0.9070034
24,1983,12,-0.68890285
25,1984,1,-0.546258
26,1984,2,-0.9840894
27,1984,3,-1.3413925
28,1984,4,-1.189753
29,1984,5,-0.5709696
30,1984,6,0.19936848
31,1984,7,0.4157467
32,1984,8,0.5481415
33,1984,9,-0.73475075
34,1984,10,-1.0442772
35,1984,11,-1.5760136
36,1984,12,-0.81256485
37,1985,1,-1.0142527
38,1985,2,-1.018167
39,1985,3,-0.80439425
40,1985,4,-0.42847443
41,1985,5,-0.18466377
42,1985,6,-0.6491451
43,1985,7,0.11667442
44,1985,8,0.7814388
45,1985,9,0.43317604
46,1985,10,-0.6324425
47,1985,11,-0.7492504
48,1985,12,-1.1697884
49,1986,1,-1.2376719
50,1986,2,-1.306109
51,1986,3,-0.98677397
52,1986,4,-0.87639666
53,1986,5,-0.93176746
54,1986,6,-1.2697296
55,1986,7,-2.3599033
56,1986,8,-1.4741077
57,1986,9,-0.90807724
58,1986,10,-0.8522186
59,1986,11,-1.5765867
60,1986,12,-1.0661955
61,1987,1,-0.99205303
62,1987,2,-0.65050507
63,1987,3,-0.75318193
64,1987,4,-0.8475485
65,1987,5,-1.0792265
66,1987,6,-0.6662674
67,1987,7,-0.47630692
68,1987,8,-1.8592491
69,1987,9,-1.7341251
70,1987,10,-1.0188885
71,1987,11,-0.87089825
72,1987,12,-0.36651993
73,1988,1,-0.042321682
74,1988,2,-0.5495019
75,1988,3,-0.31744576
76,1988,4,-0.18657875
77,1988,5,-0.4935484
78,1988,6,-0.37887383
79,1988,7,-0.21130371
80,1988,8,-0.20755768
81,1988,9,0.1159935
82,1988,10,-0.38423157
83,1988,11,-1.4442396
84,1988,12,-1.104023
85,1989,1,-0.12923527
86,1989,2,0.28292513
87,1989,3,0.32870913
88,1989,4,0.39594698
89,1989,5,0.19770432
90,1989,6,-1.016469
91,1989,7,-1.2267799
92,1989,8,-0.49943352
93,1989,9,-0.24158096
94,1989,10,-0.5524826
95,1989,11,-0.102228165
96,1989,12,0.1956129
97,1990,1,0.15893364
98,1990,2,0.31986237
99,1990,3,0.91952324
100,1990,4,0.9070029
101,1990,5,0.5227184
102,1990,6,0.04104328
103,1990,7,-0.00207901
104,1990,8,0.5682125
105,1990,9,0.3821926
106,1990,10,0.5419235
107,1990,11,0.8882246
108,1990,12,1.1759624
109,1991,1,0.75918055
110,1991,2,0.67161703
111,1991,3,0.45575953
112,1991,4,0.5722413
113,1991,5,0.3038311
114,1991,6,0.40255642
115,1991,7,-0.06772995
116,1991,8,-1.2909489
117,1991,9,-0.52536964
118,1991,10,-0.20055962
119,1991,11,-0.57873917
120,1991,12,0.07309532
121,1992,1,0.69123125
122,1992,2,0.37762022
123,1992,3,0.54861355
124,1992,4,0.4543004
125,1992,5,0.09416008
126,1992,6,-0.582119
127,1992,7,-0.15704727
128,1992,8,-1.3584404
129,1992,9,-0.48095322
130,1992,10,-0.6526432
131,1992,11,-0.04791069
132,1992,12,0.20968437
133,1993,1,0.61438036
134,1993,2,0.32129478
135,1993,3,0.556376
136,1993,4,0.2715087
137,1993,5,-0.05687809
138,1993,6,-0.995533
139,1993,7,-1.3995743
140,1993,8,-3.1597385
141,1993,9,-2.0118637
142,1993,10,-0.9199314
143,1993,11,-0.33781433
144,1993,12,-0.13363838
145,1994,1,-0.44184685
146,1994,2,0.135468
147,1994,3,-0.33535147
148,1994,4,-0.35492277
149,1994,5,-0.50323963
150,1994,6,-0.5913811
151,1994,7,0.63973427
152,1994,8,1.8485317
153,1994,9,1.1847897
154,1994,10,0.067682266
155,1994,11,0.31074524
156,1994,12,0.6900778
157,1995,1,0.4003849
158,1995,2,0.27222443
159,1995,3,0.62412834
160,1995,4,-0.10155916
161,1995,5,-0.024571419
162,1995,6,-0.73722553
163,1995,7,0.018692017
164,1995,8,0.35737228
165,1995,9,-0.6148243
166,1995,10,-0.021678925
167,1995,11,-0.06908989
168,1995,12,-0.27844524
169,1996,1,-0.1395936
170,1996,2,-0.46687174
