,Year,Month,SST
208,1999,4,-1.2232704
209,1999,5,-1.4376898
210,1999,6,-1.3656244
211,1999,7,-1.1846437
212,1999,8,-0.5480385
213,1999,9,-0.9204941
214,1999,10,-0.87665844
215,1999,11,-0.43209553
216,1999,12,-0.38916302
217,2000,1,-0.37824917
218,2000,2,-0.20034981
219,2000,3,-0.45408344
220,2000,4,-0.004163742
221,2000,5,-0.105195045
222,2000,6,-0.14226341
223,2000,7,-0.23810196
224,2000,8,-0.21556664
225,2000,9,-0.15773964
226,2000,10,-0.4127884
227,2000,11,-0.82890034
228,2000,12,-0.22064972
229,2001,1,-0.13949585
230,2001,2,-0.54087543
231,2001,3,-0.62085533
232,2001,4,-0.7511873
233,2001,5,-0.5984459
234,2001,6,-0.19026184
235,2001,7,-0.36156178
236,2001,8,-0.5693569
237,2001,9,-0.63025475
238,2001,10,-0.6077957
239,2001,11,-0.38784885
240,2001,12,-0.7195282
241,2002,1,-0.6134672
242,2002,2,-0.7629814
243,2002,3,-0.9436388
244,2002,4,-0.77826977
245,2002,5,-1.0668173
246,2002,6,-0.7218056
247,2002,7,-0.32714653
248,2002,8,-0.6260662
249,2002,9,-0.3588028
250,2002,10,-0.47933578
251,2002,11,-0.0013208389
252,2002,12,0.54492664
253,2003,1,0.40915108
254,2003,2,0.41730213
255,2003,3,0.18269634
256,2003,4,0.094548225
257,2003,5,-0.025759697
258,2003,6,0.24118519
259,2003,7,0.35307693
260,2003,8,0.6853409
261,2003,9,0.31755257
262,2003,10,0.16903496
263,2003,11,-0.0060834885
264,2003,12,-0.024842262
265,2004,1,-0.09154606
266,2004,2,-0.13689804
267,2004,3,-0.036979675
268,2004,4,0.1791563
269,2004,5,0.7126961
270,2004,6,0.5052452
271,2004,7,0.74217224
272,2004,8,0.89580154
273,2004,9,0.6314106
274,2004,10,0.39725304
275,2004,11,-0.055513382
276,2004,12,-0.03804207
277,2005,1,-0.0059919357
278,2005,2,0.21029568
279,2005,3,0.6102104
280,2005,4,0.2257452
281,2005,5,0.9123173
282,2005,6,0.4107828
283,2005,7,0.004858017
284,2005,8,-0.07656288
285,2005,9,-0.17469025
286,2005,10,-0.29322052
287,2005,11,-0.13545704
288,2005,12,0.13325882
289,2006,1,0.3745203
290,2006,2,0.0498209
291,2006,3,-0.2888317
292,2006,4,-0.172328
293,2006,5,-0.16097641
294,2006,6,0.21484947
295,2006,7,0.13868141
296,2006,8,-0.12035179
297,2006,9,-0.4040451
298,2006,10,-0.23034859
299,2006,11,-0.044520378
300,2006,12,-0.11676884
301,2007,1,-0.52878094
302,2007,2,-0.3273449
303,2007,3,-0.38111115
304,2007,4,-0.44553566
305,2007,5,-0.54384804
306,2007,6,-0.27666092
307,2007,7,0.3753376
308,2007,8,0.35858917
309,2007,9,-0.036672592
310,2007,10,-0.786129
311,2007,11,-0.8200016
312,2007,12,-0.98486614
313,2008,1,-1.1616135
314,2008,2,-1.1957092
315,2008,3,-1.0775023
316,2008,4,-1.2393284
317,2008,5,-1.2012444
318,2008,6,-1.1258144
319,2008,7,-0.49237156
320,2008,8,-0.44113922
321,2008,9,-0.6892128
322,2008,10,-0.809947
323,2008,11,-0.452137
324,2008,12,-0.4203081
325,2009,1,-0.6916475
326,2009,2,-0.7180071
327,2009,3,-0.82411194
328,2009,4,-0.9379568
329,2009,5,-0.78862095
330,2009,6,0.41630745
331,2009,7,-0.4962616
332,2009,8,-0.30438805
333,2009,9,0.04104042
334,2009,10,-0.28407097
335,2009,11,-0.3780918
336,2009,12,-0.5757389
337,2010,1,0.057847977
338,2010,2,0.1942501
339,2010,3,-0.013343811
340,2010,4,-0.22910309
341,2010,5,-0.632432
342,2010,6,-0.65168095
343,2010,7,-1.089242
344,2010,8,-1.3998394
345,2010,9,-1.0917358
346,2010,10,-0.53427124
347,2010,11,-0.65839386
348,2010,12,-0.6105318
349,2011,1,-0.59607315
350,2011,2,-0.5099554
351,2011,3,-0.6681185
352,2011,4,-0.81685543
353,2011,5,-0.8464861
354,2011,6,-0.94567776
355,2011,7,-0.81257534
356,2011,8,-0.8546028
357,2011,9,-0.3985157
358,2011,10,-0.08198929
359,2011,11,-0.54257774
360,2011,12,-0.6214647
361,2012,1,-0.39733982
362,2012,2,-0.25602436
363,2012,3,-0.5380955
364,2012,4,-0.43586922
365,2012,5,-0.6294136
366,2012,6,-0.8058691
367,2012,7,-1.0927496
368,2012,8,-1.1173935
369,2012,9,-0.9797096
370,2012,10,-0.33850288
371,2012,11,-0.07621288
372,2012,12,-0.010549545
373,2013,1,-0.6417589
374,2013,2,-0.8372278
375,2013,3,-0.7693367
376,2013,4,-0.41019535
377,2013,5,-0.031930923
378,2013,6,-0.11772156
379,2013,7,-0.06793213
380,2013,8,-0.15629578
381,2013,9,0.648077
382,2013,10,-0.41984558
383,2013,11,-0.37587166
384,2013,12,-0.5147524
385,2014,1,0.042248726
386,2014,2,0.07683468
387,2014,3,0.6604204
388,2014,4,0.50349045
389,2014,5,1.1032047
390,2014,6,0.61876774
391,2014,7,0.8591747
392,2014,8,1.0341644
393,2014,9,1.3137054
394,2014,10,1.7911797
395,2014,11,1.5639477
396,2014,12,1.8610525
397,2015,1,1.6311722
398,2015,2,1.8995256
399,2015,3,1.9573088
400,2015,4,1.5692158
401,2015,5,1.0722046
402,2015,6,1.0830374
403,2015,7,1.7680244
404,2015,8,1.7961979
405,2015,9,1.5568295
406,2015,10,1.8703365
407,2015,11,1.2936192
408,2015,12,0.95002747
