,Year,Month,CURRENT SPEED
222,2015,7,-0.002008669
223,2015,8,0.0033009015
224,2015,9,-0.0025533214
225,2015,10,-0.005182918
226,2015,11,-0.000619974
227,2015,12,-0.0037913537
228,2016,1,0.0022072159
229,2016,2,0.0030987635
230,2016,3,-0.0011202674
231,2016,4,0.007268982
232,2016,5,0.0083964
233,2016,6,0.005203437
234,2016,7,0.0076364856
235,2016,8,0.008162379
236,2016,9,0.007140722
237,2016,10,0.006477868
238,2016,11,0.00048932806
239,2016,12,0.007572662
240,2017,1,0.0048157163
241,2017,2,-0.00073072687
242,2017,3,-0.0061507123
243,2017,4,-0.005545525
244,2017,5,-0.004651118
245,2017,6,-0.0062343013
246,2017,7,-0.0008488558
247,2017,8,0.003607668
248,2017,9,0.0015416164
249,2017,10,0.0009096246
250,2017,11,-4.4206157e-05
251,2017,12,0.0003553927
252,2018,1,-0.0013196487
253,2018,2,0.00059508905
254,2018,3,-0.0018058605
255,2018,4,0.002350783
256,2018,5,-0.0006317105
257,2018,6,-0.0023117978
258,2018,7,-0.0042581987
259,2018,8,-0.0042150654
260,2018,9,0.0001119934
261,2018,10,-0.0030090977
262,2018,11,-0.002904309
263,2018,12,-0.0014960133
264,2019,1,0.00041968562
